Instance, n0, n,R, A, RotateEnable, UB, UB0Time, incTime, totalTime
CBPP-RI-1000-1,1000,1000,14.14,628.1287785216819,F,165,0.24306205439662001,0.24306205439662001,600.0003739107473,
CBPP-RI-1000-1,1000,1000,14.14,628.1287785216819,R,164,0.47393715341959336,0.47393715341959336,600.0003739107473,
CBPP-RI-1000-2,1000,1000,14.14,628.1287785216819,F,60,0.06364298917348825,0.06364298917348825,600.0003739107473,
CBPP-RI-1000-2,1000,1000,14.14,628.1287785216819,R,60,0.12254660681278057,0.12254660681278057,600.0003739107473,
CBPP-RI-1000-3,1000,1000,14.14,628.1287785216819,F,61,0.0704135199366253,0.0704135199366253,600.0003739107473,
CBPP-RI-1000-3,1000,1000,14.14,628.1287785216819,R,60,0.12254660681278057,0.12254660681278057,600.0003739107473,
CBPP-RI-1000-4,1000,1000,14.14,628.1287785216819,F,24,0.018957486136783736,0.018957486136783736,600.0003739107473,
CBPP-RI-1000-4,1000,1000,14.14,628.1287785216819,R,24,0.0419772907314497,0.0419772907314497,600.0003739107473,
CBPP-RI-200-1,200,200,14.14,628.1287785216819,F,32,0.007447583839450753,0.007447583839450753,600.0003739107473,
CBPP-RI-200-1,200,200,14.14,628.1287785216819,R,32,0.014895167678901505,0.014895167678901505,600.0003739107473,
CBPP-RI-200-2,200,200,14.14,628.1287785216819,F,13,0.0027082123052548195,0.0027082123052548195,600.0003739107473,
CBPP-RI-200-2,200,200,14.14,628.1287785216819,R,13,0.004739371534195934,0.004739371534195934,600.0003739107473,
CBPP-RI-200-3,200,200,14.14,628.1287785216819,F,12,0.0020311592289411146,0.0020311592289411146,600.0003739107473,
CBPP-RI-200-3,200,200,14.14,628.1287785216819,R,12,0.004062318457882229,0.004062318457882229,600.0003739107473,
CBPP-RI-200-4,200,200,14.14,628.1287785216819,F,5,0.0013541061526274097,0.0013541061526274097,600.0003739107473,
CBPP-RI-200-4,200,200,14.14,628.1287785216819,R,5,0.0013541061526274097,0.0013541061526274097,600.0003739107473,
CBPP-RI-400-1,400,400,14.14,628.1287785216819,F,67,0.031144441510430422,0.031144441510430422,600.0003739107473,
CBPP-RI-400-1,400,400,14.14,628.1287785216819,R,67,0.06364298917348825,0.06364298917348825,600.0078214945868,
CBPP-RI-400-2,400,400,14.14,628.1287785216819,F,24,0.010155796144705572,0.010155796144705572,600.0003739107473,
CBPP-RI-400-2,400,400,14.14,628.1287785216819,R,24,0.019634539213097442,0.019634539213097442,600.0003739107473,
CBPP-RI-400-3,400,400,14.14,628.1287785216819,F,25,0.008124636915764458,0.008124636915764458,600.0003739107473,
CBPP-RI-400-3,400,400,14.14,628.1287785216819,R,24,0.019634539213097442,0.019634539213097442,600.0003739107473,
CBPP-RI-400-4,400,400,14.14,628.1287785216819,F,10,0.0033852653815685243,0.0033852653815685243,600.0003739107473,
CBPP-RI-400-4,400,400,14.14,628.1287785216819,R,10,0.006093477686823343,0.006093477686823343,600.0003739107473,
CBPP-RI-600-1,600,600,14.14,628.1287785216819,F,99,0.06567414840242937,0.06567414840242937,600.0003739107473,
CBPP-RI-600-1,600,600,14.14,628.1287785216819,R,98,0.13879588064430948,0.13879588064430948,600.0003739107473,
CBPP-RI-600-2,600,600,14.14,628.1287785216819,F,36,0.02098864536572485,0.02098864536572485,600.0003739107473,
CBPP-RI-600-2,600,600,14.14,628.1287785216819,R,35,0.04130023765513599,0.04130023765513599,600.0003739107473,
CBPP-RI-600-3,600,600,14.14,628.1287785216819,F,37,0.018957486136783736,0.018957486136783736,600.0003739107473,
CBPP-RI-600-3,600,600,14.14,628.1287785216819,R,37,0.04468550303670452,0.04468550303670452,600.0003739107473,
CBPP-RI-600-4,600,600,14.14,628.1287785216819,F,15,0.006770530763137049,0.006770530763137049,600.0003739107473,
CBPP-RI-600-4,600,600,14.14,628.1287785216819,R,15,0.014895167678901505,0.014895167678901505,600.0003739107473,
CBPP-RI-800-1,800,800,14.14,628.1287785216819,F,133,0.11848428835489834,0.11848428835489834,600.0003739107473,
CBPP-RI-800-1,800,800,14.14,628.1287785216819,R,134,0.2518637443886982,0.2518637443886982,600.0003739107473,
CBPP-RI-800-2,800,800,14.14,628.1287785216819,F,49,0.039269078426194884,0.039269078426194884,600.0003739107473,
CBPP-RI-800-2,800,800,14.14,628.1287785216819,R,48,0.07582994454713494,0.07582994454713494,600.0003739107473,
CBPP-RI-800-3,800,800,14.14,628.1287785216819,F,49,0.032498547663057833,0.032498547663057833,600.0003739107473,
CBPP-RI-800-3,800,800,14.14,628.1287785216819,R,48,0.07853815685238977,0.07853815685238977,600.0003739107473,
CBPP-RI-800-4,800,800,14.14,628.1287785216819,F,19,0.011509902297332984,0.011509902297332984,600.0003739107473,
CBPP-RI-800-4,800,800,14.14,628.1287785216819,R,19,0.025728016899920783,0.025728016899920783,600.0003739107473,
